Sample,Sample2,Length,num_defectives,Type,num_nonconformities
1,1,38.3,1,H,1
2,1,36.1,0,,0
3,1,36.4,1,C,1
4,1,43.1,0,,0
5,1,32.6,1,H,1
6,1,33.3,0,,0
7,1,40.8,0,,0
8,1,32.7,0,,0
9,1,34.6,1,C,1
10,1,52.6,1,H,1
11,2,40.7,0,,0
12,2,35,0,,0
13,2,46.4,1,"C,H",2
14,2,34.2,0,,0
15,2,38.2,0,,0
16,2,31.5,1,C,1
17,2,40.8,1,C,1
18,2,38.9,0,,0
19,2,49.2,1,C,1
20,2,48.9,1,D,1
21,3,44.6,1,H,1
22,3,39.7,0,,0
23,3,39.7,1,C,1
24,3,40.3,1,C,1
25,3,32.6,1,C,1
26,3,42.3,1,C,1
27,3,35.3,1,C,1
28,3,37.4,1,H,1
29,3,52.3,1,H,1
30,3,42.2,0,,0
31,4,30.3,0,,0
32,4,44.3,1,"C,H,M",3
33,4,42.8,0,,0
34,4,33.7,0,,0
35,4,39.1,0,,0
36,4,35,1,"C,D",2
37,4,37,0,,0
38,4,43,1,"H,M",2
39,4,36.3,1,C,1
40,4,36,1,H,1
41,5,32.2,0,,0
42,5,44,0,,0
43,5,38.6,0,,0
44,5,34.1,0,,0
45,5,40.4,0,,0
46,5,48.1,0,,0
47,5,39.1,1,C,1
48,5,25.5,0,,0
49,5,33,1,H,1
50,5,34.6,1,C,1
51,6,28.1,1,C,1
52,6,29.8,0,,0
53,6,37.3,1,C,1
54,6,21.4,1,"H,M",2
55,6,40.1,1,H,1
56,6,43,0,,0
57,6,36.3,0,,0
58,6,37.1,1,C,1
59,6,38.7,0,,0
60,6,34.1,0,,0
61,7,38.9,1,C,1
62,7,39.4,0,,0
63,7,36.1,1,C,1
64,7,42.8,0,,0
65,7,39.2,1,C,1
66,7,37.6,0,,0
67,7,31.4,1,C,1
68,7,38.2,1,C,1
69,7,37.2,1,"C,H",2
70,7,36.1,1,H,1
71,8,40.3,0,,0
72,8,52,1,C,1
73,8,35.9,0,,0
74,8,38.4,1,D,1
75,8,38.1,1,C,1
76,8,34.1,0,,0
77,8,43.5,1,H,1
78,8,37.6,1,C,1
79,8,27.5,0,,0
80,8,36.6,0,,0
81,9,39.1,0,,0
82,9,41.4,1,C,1
83,9,36.9,0,,0
84,9,26.9,0,,0
85,9,51.8,0,,0
86,9,39,1,C,1
87,9,33.5,1,H,1
88,9,38,1,H,1
89,9,23.2,0,,0
90,9,40.1,0,,0
91,10,23.6,0,,0
92,10,38.5,1,H,1
93,10,37.3,0,,0
94,10,38.9,1,C,1
95,10,36.2,1,"C,H,M",3
96,10,22.1,0,,0
97,10,42.6,0,,0
98,10,24.1,1,C,1
99,10,37.1,1,C,1
100,10,33.6,1,"C,H",2
101,11,36.3,0,,0
102,11,34.8,1,D,1
103,11,32.3,0,,0
104,11,40,0,,0
105,11,34.1,1,H,1
106,11,39.7,0,,0
107,11,37,0,,0
108,11,43.9,0,,0
109,11,36.7,0,,0
110,11,34.3,1,C,1
111,12,36.4,1,C,1
112,12,37.6,0,,0
113,12,38.4,1,C,1
114,12,39.7,0,,0
115,12,44.6,1,H,1
116,12,44.5,1,C,1
117,12,45.9,1,"C,H",2
118,12,51.8,1,C,1
119,12,40.3,1,"H,M",2
120,12,34.6,0,,0
121,13,37,1,C,1
122,13,38.7,0,,0
123,13,41.4,0,,0
124,13,36.1,0,,0
125,13,39.2,1,"C,D",2
126,13,38.6,0,,0
127,13,38.5,1,H,1
128,13,36.5,1,C,1
129,13,40.7,0,,0
130,13,37.3,1,C,1
131,14,42.1,1,H,1
132,14,36.1,0,,0
133,14,49.9,1,C,1
134,14,49.2,0,,0
135,14,39.7,1,C,1
136,14,34.1,1,C,1
137,14,21.9,0,,0
138,14,36.7,0,,0
139,14,38.9,1,H,1
140,14,38.2,1,C,1
141,15,39.6,1,D,1
142,15,30.6,1,H,1
143,15,23.2,1,C,1
144,15,40.4,0,,0
145,15,41.9,1,C,1
146,15,23.5,1,H,1
147,15,33.8,1,C,1
148,15,45.1,0,,0
149,15,33.4,0,,0
150,15,33.3,0,,0
151,16,38.8,1,C,1
152,16,43.2,0,,0
153,16,36.5,1,D,1
154,16,33.7,0,,0
155,16,45.5,1,H,1
156,16,37.4,0,,0
157,16,40.3,0,,0
158,16,23.7,1,H,1
159,16,34.7,1,C,1
160,16,41.5,1,C,1
161,17,41.6,1,C,1
162,17,37.7,1,C,1
163,17,37.5,1,H,1
164,17,35.7,0,,0
165,17,33.3,0,,0
166,17,35,0,,0
167,17,38.7,1,H,1
168,17,40.5,0,,0
169,17,28.1,0,,0
170,17,34.5,1,H,1
171,18,34.1,0,,0
172,18,35.5,1,H,1
173,18,35.1,1,C,1
174,18,34.8,1,C,1
175,18,36.7,0,,0
176,18,45.8,1,C,1
177,18,42.1,1,C,1
178,18,33.9,0,,0
179,18,33.2,1,C,1
180,18,40.6,0,,0
181,19,35.1,1,C,1
182,19,34.4,0,,0
183,19,32.7,0,,0
184,19,31.8,1,H,1
185,19,31.4,0,,0
186,19,42.7,0,,0
187,19,39,0,,0
188,19,35.4,0,,0
189,19,24.9,0,,0
190,19,41.4,1,H,1
191,20,36.4,1,H,1
192,20,27.4,0,,0
193,20,40.2,1,"H,M",2
194,20,36.9,0,,0
195,20,37.2,1,C,1
196,20,37.4,0,,0
197,20,23.3,1,"C,H",2
198,20,37.9,1,C,1
199,20,38.7,0,,0
200,20,52.3,0,,0
